station,valid,feel,p01m
Y19,2010-11-18 15:55,11.97,0.00
Y19,2010-11-18 16:55,15.01,0.00
Y19,2010-11-18 17:55,13.76,0.00
Y19,2010-11-18 18:55,16.45,0.00
Y19,2010-11-18 19:55,18.58,0.00
Y19,2010-11-18 20:55,18.58,0.00
Y19,2010-11-18 21:55,20.08,0.00
Y19,2010-11-18 22:55,22.43,0.00
Y19,2010-11-18 23:55,20.78,0.00
Y19,2010-11-19 00:55,23.51,0.00
Y19,2010-11-19 01:55,18.45,0.00
Y19,2010-11-19 02:55,22.12,0.00
Y19,2010-11-19 03:55,22.52,0.00
Y19,2010-11-19 04:55,20.42,0.00
Y19,2010-11-19 05:55,21.57,0.00
Y19,2010-11-19 06:55,16.96,0.00
Y19,2010-11-19 07:55,13.38,0.00
Y19,2010-11-19 08:55,9.92,0.00
Y19,2010-11-19 09:55,4.45,0.00
Y19,2010-11-19 10:55,0.79,0.00
Y19,2010-11-19 11:55,-0.70,0.00
Y19,2010-11-19 12:55,-4.77,0.00
Y19,2010-11-19 13:55,-3.51,1.02
Y19,2010-11-19 14:55,-7.16,0.00
Y19,2010-11-19 15:55,-4.37,0.00
Y19,2010-11-19 16:55,-3.04,0.00
Y19,2010-11-19 17:55,-0.22,0.00
Y19,2010-11-19 18:55,-1.15,0.00
Y19,2010-11-19 19:55,2.60,M
Y19,2010-11-19 20:55,4.92,M
Y19,2010-11-19 21:55,0.81,M
Y19,2010-11-19 22:55,1.94,M
Y19,2010-11-19 23:55,1.94,M
Y19,2010-11-20 00:55,1.94,M
Y19,2010-11-20 01:55,2.84,M
Y19,2010-11-20 02:55,0.64,M
Y19,2010-11-20 03:55,1.68,M
Y19,2010-11-20 04:55,-0.48,M
Y19,2010-11-20 05:55,-0.48,M
Y19,2010-11-20 06:55,-1.55,M
Y19,2010-11-20 07:55,-2.49,M
Y19,2010-11-20 08:55,-3.34,M
Y19,2010-11-20 09:55,-4.71,M
Y19,2010-11-20 10:55,-5.58,M
Y19,2010-11-20 11:55,-5.58,M
Y19,2010-11-20 12:55,-5.58,M
Y19,2010-11-20 13:55,-5.58,M
Y19,2010-11-20 14:55,-4.83,M
Y19,2010-11-20 15:55,-5.49,M
Y19,2010-11-20 16:55,-3.80,M
Y19,2010-11-20 17:55,-2.04,M
Y19,2010-11-20 18:55,-2.04,M
Y19,2010-11-20 19:55,-2.56,M
Y19,2010-11-20 20:55,-3.04,M
Y19,2010-11-20 21:55,-2.56,M
Y19,2010-11-20 22:55,-3.95,M
Y19,2010-11-20 23:55,-2.04,M
Y19,2010-11-21 00:55,-5.39,M
Y19,2010-11-21 01:55,-1.49,M
Y19,2010-11-21 02:55,-0.28,M
Y19,2010-11-21 03:55,1.94,M
Y19,2010-11-21 04:55,1.94,M
Y19,2010-11-21 05:55,2.84,M
Y19,2010-11-21 06:55,0.40,M
Y19,2010-11-21 07:55,1.13,M
Y19,2010-11-21 08:55,3.85,M
Y19,2010-11-21 09:55,5.02,M
Y19,2010-11-21 10:55,8.11,M
