station,valid,feel,p01m
06C,2018-09-02 09:55,68.00,0.00
06C,2018-09-02 10:55,68.20,0.00
06C,2018-09-02 11:55,68.90,0.00
06C,2018-09-02 12:55,70.90,0.00
06C,2018-09-02 13:55,77.74,0.00
06C,2018-09-02 14:55,80.53,0.00
06C,2018-09-02 15:55,85.26,0.00
06C,2018-09-02 16:55,88.98,0.00
06C,2018-09-02 17:55,91.58,0.00
06C,2018-09-02 18:55,90.46,0.00
06C,2018-09-02 19:55,93.26,0.00
06C,2018-09-02 20:55,92.71,0.00
06C,2018-09-02 21:55,91.35,0.00
06C,2018-09-02 22:55,87.45,0.00
06C,2018-09-02 23:55,85.84,0.00
06C,2018-09-03 00:55,81.68,0.00
06C,2018-09-03 01:55,81.31,0.00
06C,2018-09-03 02:55,73.80,0.00
06C,2018-09-03 03:55,71.51,0.76
06C,2018-09-03 04:55,72.11,0.00
06C,2018-09-03 05:55,71.92,0.25
06C,2018-09-03 06:55,68.20,9.14
06C,2018-09-03 07:55,68.00,0.25
06C,2018-09-03 08:55,68.40,0.00
06C,2018-09-03 09:55,68.20,0.00
06C,2018-09-03 10:55,68.90,0.00
06C,2018-09-03 11:55,69.80,0.00
06C,2018-09-03 12:55,72.08,0.00
06C,2018-09-03 13:55,74.63,0.00
06C,2018-09-03 14:55,77.81,0.00
06C,2018-09-03 15:55,83.62,0.00
06C,2018-09-03 16:55,86.96,0.00
06C,2018-09-03 17:55,86.88,0.00
06C,2018-09-03 18:55,79.79,1.52
06C,2018-09-03 19:55,75.98,0.00
06C,2018-09-03 20:55,74.01,9.14
06C,2018-09-03 21:55,73.21,1.52
06C,2018-09-03 22:55,74.17,0.00
06C,2018-09-03 23:55,73.13,0.00
06C,2018-09-04 00:55,72.88,0.00
06C,2018-09-04 01:55,72.22,0.00
06C,2018-09-04 02:55,71.59,0.00
06C,2018-09-04 03:55,72.16,0.00
06C,2018-09-04 04:55,72.33,0.00
06C,2018-09-04 05:55,71.83,0.00
06C,2018-09-04 06:55,71.28,0.00
06C,2018-09-04 07:55,68.90,0.00
06C,2018-09-04 08:55,69.10,0.00
06C,2018-09-04 09:55,69.30,0.00
06C,2018-09-04 10:55,69.30,0.00
06C,2018-09-04 11:55,69.80,0.00
06C,2018-09-04 12:55,74.63,0.00
06C,2018-09-04 13:55,80.82,0.00
06C,2018-09-04 14:55,86.55,0.00
06C,2018-09-04 15:55,90.83,0.00
06C,2018-09-04 16:55,92.83,0.00
06C,2018-09-04 17:55,91.18,0.00
06C,2018-09-04 18:55,94.35,0.00
06C,2018-09-04 19:55,94.21,0.00
06C,2018-09-04 20:55,94.29,0.00
06C,2018-09-04 21:55,91.28,0.00
06C,2018-09-04 22:55,89.99,0.00
06C,2018-09-04 23:55,87.44,0.00
06C,2018-09-05 00:55,82.62,0.00
06C,2018-09-05 01:55,77.00,0.00
06C,2018-09-05 02:55,80.85,0.00
06C,2018-09-05 03:55,81.07,0.00
06C,2018-09-05 04:55,78.10,0.00
06C,2018-09-05 05:55,77.00,0.00
06C,2018-09-05 06:55,76.30,0.00
06C,2018-09-05 07:55,75.40,0.00
06C,2018-09-05 08:55,74.80,0.00
06C,2018-09-05 09:55,73.60,0.00
06C,2018-09-05 10:55,72.90,0.00
06C,2018-09-05 11:55,73.00,0.00
06C,2018-09-05 12:55,76.30,0.00
06C,2018-09-05 13:55,82.11,0.00
06C,2018-09-05 14:55,85.52,0.00
06C,2018-09-05 15:55,88.36,0.00
06C,2018-09-05 16:55,87.48,0.00
06C,2018-09-05 17:55,93.84,0.00
06C,2018-09-05 18:55,92.71,0.00
06C,2018-09-05 19:55,83.83,0.00
06C,2018-09-05 20:55,87.85,0.00
06C,2018-09-05 21:55,77.23,4.32
06C,2018-09-05 22:55,76.26,2.79
06C,2018-09-05 23:55,74.25,1.78
06C,2018-09-06 00:55,73.42,0.00
06C,2018-09-06 01:55,69.80,0.00
