station,valid,feel,p01m
06C,2018-08-16 16:55,82.26,0.00
06C,2018-08-16 17:55,83.95,0.00
06C,2018-08-16 18:55,82.21,0.00
06C,2018-08-16 19:55,83.36,0.00
06C,2018-08-16 20:55,84.35,0.00
06C,2018-08-16 21:55,84.48,0.00
06C,2018-08-16 22:55,84.08,0.00
06C,2018-08-16 23:55,82.40,0.00
06C,2018-08-17 00:55,77.00,0.00
06C,2018-08-17 01:55,75.40,0.00
06C,2018-08-17 02:55,74.80,0.00
06C,2018-08-17 03:55,74.30,0.00
06C,2018-08-17 04:55,68.20,1.52
06C,2018-08-17 05:55,66.60,4.06
06C,2018-08-17 06:55,66.60,1.27
06C,2018-08-17 07:55,66.40,0.00
06C,2018-08-17 08:55,66.00,0.00
06C,2018-08-17 09:55,65.50,0.00
06C,2018-08-17 10:55,65.80,0.00
06C,2018-08-17 11:55,66.40,0.00
06C,2018-08-17 12:55,67.50,0.00
06C,2018-08-17 13:55,68.20,0.00
06C,2018-08-17 14:55,69.80,0.00
06C,2018-08-17 15:55,72.50,0.00
06C,2018-08-17 16:55,75.40,0.00
06C,2018-08-17 17:55,76.60,0.00
06C,2018-08-17 18:55,81.42,0.00
06C,2018-08-17 19:55,84.06,0.00
06C,2018-08-17 20:55,83.02,0.00
06C,2018-08-17 21:55,81.46,0.00
06C,2018-08-17 22:55,82.21,0.00
06C,2018-08-17 23:55,76.60,0.00
06C,2018-08-18 00:55,74.30,0.00
06C,2018-08-18 01:55,73.40,0.00
06C,2018-08-18 02:55,72.88,2.03
06C,2018-08-18 03:55,71.51,0.00
06C,2018-08-18 04:55,69.30,0.00
06C,2018-08-18 05:55,68.40,0.00
06C,2018-08-18 06:55,68.00,0.00
06C,2018-08-18 07:55,68.20,0.00
06C,2018-08-18 08:55,68.40,0.25
06C,2018-08-18 09:55,68.90,0.00
06C,2018-08-18 10:55,68.40,0.00
06C,2018-08-18 11:55,68.50,0.00
06C,2018-08-18 12:55,71.34,0.00
06C,2018-08-18 13:55,72.81,0.00
06C,2018-08-18 14:55,73.90,0.00
06C,2018-08-18 15:55,74.50,0.00
06C,2018-08-18 16:55,77.40,0.00
06C,2018-08-18 17:55,76.50,0.00
06C,2018-08-18 18:55,80.89,0.00
06C,2018-08-18 19:55,80.89,0.00
06C,2018-08-18 20:55,80.48,0.00
06C,2018-08-18 21:55,78.10,0.00
06C,2018-08-18 22:55,77.50,0.00
06C,2018-08-18 23:55,75.00,0.00
06C,2018-08-19 00:55,72.90,0.00
06C,2018-08-19 01:55,70.90,0.00
06C,2018-08-19 02:55,69.80,0.00
06C,2018-08-19 03:55,68.90,0.00
06C,2018-08-19 04:55,68.00,0.00
06C,2018-08-19 05:55,66.90,0.00
06C,2018-08-19 06:55,66.40,0.00
06C,2018-08-19 07:55,64.80,0.00
06C,2018-08-19 08:55,63.90,0.00
06C,2018-08-19 09:55,64.40,0.00
06C,2018-08-19 10:55,63.90,0.00
06C,2018-08-19 11:55,64.90,0.00
06C,2018-08-19 12:55,69.60,0.00
06C,2018-08-19 13:55,73.40,0.00
06C,2018-08-19 14:55,75.90,0.00
06C,2018-08-19 15:55,77.20,0.00
06C,2018-08-19 16:55,81.65,0.00
06C,2018-08-19 17:55,83.14,0.00
06C,2018-08-19 18:55,83.31,0.00
06C,2018-08-19 19:55,84.45,0.00
06C,2018-08-19 20:55,83.92,0.00
06C,2018-08-19 21:55,82.57,0.00
06C,2018-08-19 22:55,80.88,0.00
06C,2018-08-19 23:55,76.30,0.00
06C,2018-08-20 00:55,74.80,0.00
06C,2018-08-20 01:55,74.10,0.00
06C,2018-08-20 02:55,73.60,0.00
06C,2018-08-20 03:55,72.90,0.00
06C,2018-08-20 04:55,74.42,0.00
06C,2018-08-20 05:55,72.50,0.00
06C,2018-08-20 06:55,71.10,0.00
