station,valid,feel,p01m
Y50,2007-04-27 18:56,50.90,0.00
Y50,2007-04-27 19:56,52.90,0.00
Y50,2007-04-27 20:56,55.90,0.00
Y50,2007-04-27 21:56,57.90,0.00
Y50,2007-04-27 22:56,59.90,0.00
Y50,2007-04-27 23:56,59.90,0.00
Y50,2007-04-28 00:56,55.90,0.00
Y50,2007-04-28 01:56,52.00,0.00
Y50,2007-04-28 02:56,45.87,0.00
Y50,2007-04-28 05:56,38.80,0.00
Y50,2007-04-28 06:56,36.90,0.00
Y50,2007-04-28 07:56,36.00,0.00
Y50,2007-04-28 08:56,36.90,0.00
Y50,2007-04-28 09:56,36.90,0.00
Y50,2007-04-28 10:56,39.90,0.00
Y50,2007-04-28 11:56,41.83,0.00
Y50,2007-04-28 12:56,0.64,0.00
Y50,2007-04-28 13:56,59.00,0.00
Y50,2007-04-28 14:56,61.90,0.00
Y50,2007-04-28 15:56,64.90,0.00
Y50,2007-04-28 16:56,68.90,0.00
Y50,2007-04-28 17:56,70.00,0.00
Y50,2007-04-28 18:56,72.00,0.00
Y50,2007-04-28 19:56,72.90,0.00
Y50,2007-04-28 20:56,72.90,0.00
Y50,2007-04-28 21:56,72.90,0.00
Y50,2007-04-28 22:56,72.00,0.00
Y50,2007-04-28 23:56,70.00,0.00
Y50,2007-04-29 00:56,64.90,0.00
Y50,2007-04-29 01:56,54.90,0.00
Y50,2007-04-29 02:56,50.00,0.00
Y50,2007-04-29 03:56,45.90,0.00
Y50,2007-04-29 04:56,43.90,0.00
Y50,2007-04-29 05:56,41.90,0.00
Y50,2007-04-29 06:56,41.00,0.00
Y50,2007-04-29 07:56,38.80,0.00
Y50,2007-04-29 08:56,37.90,0.00
Y50,2007-04-29 09:56,36.90,0.00
Y50,2007-04-29 10:56,36.90,0.00
Y50,2007-04-29 11:56,39.90,0.00
Y50,2007-04-29 12:56,52.90,0.00
Y50,2007-04-29 13:56,61.90,0.00
Y50,2007-04-29 14:56,70.00,0.00
Y50,2007-04-29 15:56,74.80,T
Y50,2007-04-29 16:56,79.00,0.00
Y50,2007-04-29 17:56,82.03,0.00
Y50,2007-04-29 18:56,83.68,0.00
Y50,2007-04-29 19:56,84.46,0.00
Y50,2007-04-29 20:56,83.57,0.00
Y50,2007-04-29 21:56,84.51,0.00
Y50,2007-04-29 22:56,84.34,0.00
Y50,2007-04-29 23:56,80.57,0.00
Y50,2007-04-30 00:56,79.00,0.00
Y50,2007-04-30 01:56,73.90,0.00
Y50,2007-04-30 02:56,72.90,0.00
Y50,2007-04-30 03:56,70.90,0.00
Y50,2007-04-30 04:56,66.90,0.00
Y50,2007-04-30 05:56,61.00,0.00
Y50,2007-04-30 06:56,55.90,0.00
Y50,2007-04-30 07:56,54.00,0.00
Y50,2007-04-30 08:56,50.90,0.00
Y50,2007-04-30 09:56,46.47,0.00
Y50,2007-04-30 10:56,43.90,0.00
Y50,2007-04-30 11:56,44.82,0.00
Y50,2007-04-30 12:56,54.00,0.00
Y50,2007-04-30 13:56,57.90,0.00
Y50,2007-04-30 14:56,61.90,0.00
Y50,2007-04-30 15:56,63.90,0.00
Y50,2007-04-30 16:56,64.90,0.00
Y50,2007-04-30 17:56,57.90,T
Y50,2007-04-30 18:56,57.90,T
Y50,2007-04-30 19:56,54.90,T
Y50,2007-04-30 20:56,50.90,0.25
Y50,2007-04-30 21:56,50.00,2.54
Y50,2007-04-30 22:56,44.93,1.27
Y50,2007-05-01 00:56,42.94,T
Y50,2007-05-01 01:56,43.48,1.02
Y50,2007-05-01 02:56,44.04,0.51
Y50,2007-05-01 03:56,44.53,0.76
Y50,2007-05-01 04:56,47.80,11.68
Y50,2007-05-01 05:56,44.04,3.81
Y50,2007-05-01 06:56,44.14,2.54
Y50,2007-05-01 07:56,42.86,M
Y50,2007-05-01 08:56,44.53,9.65
Y50,2007-05-01 09:56,46.94,6.60
Y50,2007-05-01 10:56,45.92,T
Y50,2007-05-01 11:56,46.75,0.51
Y50,2007-05-01 12:56,46.49,M
Y50,2007-05-01 13:56,46.72,M
Y50,2007-05-01 14:56,53.96,M
Y50,2007-05-01 15:56,57.92,M
Y50,2007-05-01 16:56,62.96,T
Y50,2007-05-01 17:56,65.80,0.00
Y50,2007-05-01 18:56,68.90,M
Y50,2007-05-01 19:56,72.00,0.00
Y50,2007-05-01 20:56,72.00,0.00
Y50,2007-05-01 21:56,72.90,0.00
Y50,2007-05-01 22:56,69.58,M
Y50,2007-05-01 23:56,69.98,M
Y50,2007-05-02 00:56,66.92,M
Y50,2007-05-02 01:56,62.96,M
Y50,2007-05-02 02:56,59.90,M
Y50,2007-05-02 03:56,56.84,M
Y50,2007-05-02 04:56,52.88,M
Y50,2007-05-02 05:56,48.44,M
Y50,2007-05-02 06:56,45.92,M
Y50,2007-05-02 07:56,43.00,0.00
Y50,2007-05-02 08:56,37.74,M
Y50,2007-05-02 09:56,37.93,M
Y50,2007-05-02 10:56,38.98,M
Y50,2007-05-02 11:56,42.90,0.00
Y50,2007-05-02 12:56,45.40,M
Y50,2007-05-02 13:56,52.88,M
Y50,2007-05-02 14:56,55.94,M
Y50,2007-05-02 15:56,56.84,M
Y50,2007-05-02 16:56,56.84,M
Y50,2007-05-02 17:56,59.00,M
Y50,2007-05-02 18:56,59.90,M
Y50,2007-05-02 19:56,59.00,M
Y50,2007-05-02 20:56,59.00,M
Y50,2007-05-02 21:56,59.00,T
Y50,2007-05-02 22:56,59.00,T
Y50,2007-05-02 23:56,55.94,T
Y50,2007-05-03 00:56,53.96,T
Y50,2007-05-03 01:56,51.98,M
Y50,2007-05-03 02:56,47.21,M
Y50,2007-05-03 03:56,44.61,M
Y50,2007-05-03 04:56,43.61,M
Y50,2007-05-03 05:56,42.55,M
Y50,2007-05-03 06:56,39.84,M
Y50,2007-05-03 07:56,39.86,0.00
Y50,2007-05-03 08:56,40.24,M
Y50,2007-05-03 09:56,38.98,M
Y50,2007-05-03 10:56,37.93,M
Y50,2007-05-03 11:56,41.32,0.00
Y50,2007-05-03 12:56,45.90,M
Y50,2007-05-03 13:56,52.88,M
Y50,2007-05-03 14:56,56.84,M
Y50,2007-05-03 15:56,59.90,M
Y50,2007-05-03 16:56,60.98,M
Y50,2007-05-03 17:56,61.88,M
Y50,2007-05-03 18:56,61.88,M
Y50,2007-05-03 19:56,63.90,0.00
Y50,2007-05-03 20:56,63.86,M
Y50,2007-05-03 21:56,63.86,M
Y50,2007-05-03 22:56,63.86,M
Y50,2007-05-03 23:56,61.88,M
Y50,2007-05-04 00:56,59.90,M
Y50,2007-05-04 01:56,55.94,M
Y50,2007-05-04 02:56,53.96,M
Y50,2007-05-04 03:56,50.90,M
Y50,2007-05-04 04:56,47.18,M
Y50,2007-05-04 05:56,45.21,M
Y50,2007-05-04 06:56,45.40,M
Y50,2007-05-04 07:56,44.56,0.00
Y50,2007-05-04 08:56,44.14,M
Y50,2007-05-04 09:56,42.55,M
Y50,2007-05-04 10:56,40.50,M
Y50,2007-05-04 11:56,42.99,M
Y50,2007-05-04 12:56,50.90,M
Y50,2007-05-04 13:56,56.84,M
Y50,2007-05-04 14:56,61.88,M
Y50,2007-05-04 15:56,63.86,M
Y50,2007-05-04 16:56,65.84,M
Y50,2007-05-04 17:56,65.84,M
Y50,2007-05-04 18:56,66.92,M
Y50,2007-05-04 19:56,66.92,M
Y50,2007-05-04 20:56,65.84,M
Y50,2007-05-04 21:56,66.92,M
Y50,2007-05-04 22:56,65.84,M
Y50,2007-05-04 23:56,64.94,M
Y50,2007-05-05 00:56,62.96,M
Y50,2007-05-05 01:56,60.98,T
Y50,2007-05-05 02:56,59.00,T
Y50,2007-05-05 03:56,55.94,T
Y50,2007-05-05 04:56,55.94,T
Y50,2007-05-05 05:56,55.94,T
Y50,2007-05-05 06:56,56.84,T
Y50,2007-05-05 07:56,52.88,T
Y50,2007-05-05 08:56,47.77,0.76
Y50,2007-05-05 09:56,45.91,0.76
Y50,2007-05-05 10:56,46.49,0.25
Y50,2007-05-05 11:56,47.77,T
Y50,2007-05-05 12:56,50.90,T
Y50,2007-05-05 13:56,51.98,M
Y50,2007-05-05 14:56,53.96,T
Y50,2007-05-05 15:56,54.86,T
